StudentID,Last,First,Middle,Street,City,State,Zip,Country,Cellphone,Email,StudioID,Age,ClassID
49,Ernie,Amelia,I,45 E Liberty St,Harahan,LA,70123,USA,(504) 709-6245,ernie_amelia@aol.com,1,13,6
50,Albina,Evelyn,S,4 Ralph Ct,Harahan,LA,70123,USA,(504) 924-7882,albina@evelyn.com,1,14,6
51,Valentine,Gillian,I,775 W 17th St,Harahan,LA,70123,USA,(504) 812-9597,valentine_gillian@gmail.com,1,18,6
52,Kati,Sofia,M,6980 Dorsett Rd,Harahan,LA,70123,USA,(504) 463-7829,kati.Sofia@hotmail.com,1,30,6
53,Campain,Roxane,W,1048 Main St,Harahan,LA,70123,USA,(504) 231-4722,roxane@hotmail.com,1,4,7
54,Perin,Lavera,H,678 3rd Ave,River Ridge,LA,70123,USA,(504) 606-7291,lperin@perin.org,1,5,7
55,Ferencz,Scarlett,F,20 S Babcock St,River Ridge,LA,70123,USA,(504) 741-1044,Scarlett.ferencz@aol.com,1,5,7
56,Saylors,Victoria,Y,2 Lighthouse Ave,River Ridge,LA,70123,USA,(504) 768-2416,fsaylors@saylors.org,1,6,7
57,Briddick,Jina,I,38938 Park Blvd,Harahan,LA,70123,USA,(504) 399-5124,jina_briddick@briddick.com,1,4,7
58,Waycott,Kristina,F,5 Tomahawk Dr,Harahan,LA,70123,USA,(504) 453-2780,Kristina_waycott@yahoo.com,1,4,7
59,Nestle,Lorrie,Y,39 S 7th St,Kenner,LA,70065,USA,(504) 875-6644,lnestle@hotmail.com,1,9,8
60,Uyetake,Sabra,I,98839 Hawthorne Blvd #6101,Harahan,LA,70123,USA,(504) 925-5213,sabra@uyetake.org,1,8,8
61,Mastella,Marjory,W,71 San Mateo Ave,Harahan,LA,70123,USA,(504) 814-5533,mmastella@mastella.com,1,9,8
62,Ernie,Amelia,I,45 E Liberty St,Harahan,LA,70123,USA,(504) 709-6245,ernie_amelia@aol.com,1,13,8
63,Albina,Evelyn,S,4 Ralph Ct,Harahan,LA,70123,USA,(504) 924-7882,albina@evelyn.com,1,14,9
64,Valentine,Gillian,I,775 W 17th St,Harahan,LA,70123,USA,(504) 812-9597,valentine_gillian@gmail.com,1,18,9
65,Kati,Sofia,M,6980 Dorsett Rd,Harahan,LA,70123,USA,(504) 463-7829,kati.sofia@hotmail.com,1,30,9
66,Amigon,Minna,G,2371 Jerrold Ave,River Ridge,LA,70123,USA,(504) 874-1229,minna_amigon@yahoo.com,1,4,13
67,Maclead,Alice,G,37275 St  Rt 17m M,Harahan,LA,70123,USA,(504) 335-3414,amaclead@gmail.com,1,5,13
68,Caldarera,Kirsten,L,25 E 75th St #69,River Ridge,LA,70123,USA,(504) 498-5651,kirsten.caldarera@aol.com,1,6,13
69,Albares,Cammy,W,56 E Morehead St,Harahan,LA,70123,USA,(504) 537-6195,calbares@gmail.com,1,4,13
70,Poquette,Maddie,S,73 State Road 434 E,Harahan,LA,70123,USA,(504) 277-4385,maddie@aol.com,1,5,13
71,Garufi,Megan,F,69734 E Carrillo St,Harahan,LA,70123,USA,(504) 313-9635,megan@hotmail.com,1,6,13
72,Rim,Julia,H,322 New Horizon Blvd,River Ridge,LA,70123,USA,(504) 661-9598,julia.rim@rim.org,1,5,13
73,Whobrey,Alex,F,1 State Route 27,River Ridge,LA,70123,USA,(504) 288-7937,alex_whobrey@aol.com,1,5,13
74,Flosi,Emma,Y,394 Manchester Blvd,River Ridge,LA,70123,USA,(504) 828-2147,emma.flosi@yahoo.com,1,6,13
75,Nicka,Bette,I,6 S 33rd St,Harahan,LA,70123,USA,(504) 545-3615,bette_nicka@cox.net,1,4,13
76,Inouye,Veronica,F,6 Greenleaf Ave,Harahan,LA,70123,USA,(504) 540-1785,vinouye@aol.com,1,4,13
77,Willard,Olivia,L,618 W Yakima Ave,River Ridge,LA,70123,USA,(504) 303-9197,willard@hotmail.com,1,7,14
78,Maryann,Ava,F,74 S Westgate St,River Ridge,LA,70123,USA,(504) 966-7987,mava@Ava.com,1,8,14
79,Alisha,Isabella,W,3273 State St,Harahan,LA,70123,USA,(504) 658-3154,alisha@Isabella.com,1,7,14
80,Chanel,Caudy,p,86 Nw 66th St #8673,Harahan,LA,70123,USA,(504) 388-2079,chanel.caudy@caudy.org,1,10,14
81,Ezekiel,Chui,H,2 Cedar Ave #84,River Ridge,LA,70123,USA,(504) 669-1642,ezekiel@chui.com,1,11,14
82,Willow,Mia,P,90991 Thorburn Ave,River Ridge,LA,70123,USA,(504) 582-4976,wmia@yahoo.com,1,11,14
83,Bernardo,Charlotte,Y,386 9th Ave N,Kenner,LA,70065,USA,(504) 336-3951,bcharlotte@aol.com,1,9,14
84,Ammie,Corrio,I,74874 Atlantic Ave,Harahan,LA,70123,USA,(504) 801-9788,ammie@corrio.com,1,8,14
85,vocelka,Francine,W,366 South Dr,Harahan,LA,70123,USA,(504) 977-3911,francine_vocelka@vocelka.com,1,9,14
86,Ernie,Amelia,I,45 E Liberty St,Harahan,LA,70123,USA,(504) 709-6245,ernie_amelia@aol.com,1,13,15
87,Albina,Evelyn,S,4 Ralph Ct,Harahan,LA,70123,USA,(504) 924-7882,albina@evelyn.com,1,16,15
88,Alishia,Abigail,L,2742 Distribution Way,Harahan,LA,70123,USA,(504) 860-1579,aabigail@gmail.com,1,18,15
89,Solange,Emily,H,426 Wolf St,River Ridge,LA,70123,USA,(504) 979-9175,solange@emily.com,1,19,15
90,Jose,Elizabeth,M,128 Bransten Rd,River Ridge,LA,70123,USA,(504) 675-8570,jose@yahoo.com,1,21,15
91,Rozella,Avery,Y,17 Morena Blvd,Kenner,LA,70065,USA,(504) 832-6163,rozella.avery@avery.com,1,22,15
92,Valentine,Gillian,I,775 W 17th St,Harahan,LA,70123,USA,(504) 812-9597,valentine_gillian@gmail.com,1,18,15
93,Kati,Sofia,M,6980 Dorsett Rd,Harahan,LA,70123,USA,(504) 463-7829,kati.sofia@hotmail.com,1,30,15
94,Amigon,Minna,G,2371 Jerrold Ave,River Ridge,LA,70123,USA,(504) 874-1229,minna_amigon@yahoo.com,1,4,15
95,Maclead,Alice,G,37275 St  Rt 17m M,Harahan,LA,70123,USA,(504) 335-3414,amaclead@gmail.com,1,5,16
96,Schemmer,Youlanda,L,2881 Lewis Rd,River Ridge,LA,70123,USA,(504) 548-8197,youlanda@aol.com,1,6,16
97,Oldroyd,Madison,F,7219 Woodfield Rd,River Ridge,LA,70123,USA,(504) 413-4604,doldroyd@aol.com,1,4,16
98,Campain,Roxane,W,1048 Main St,Harahan,LA,70123,USA,(504) 231-4722,roxane@hotmail.com,1,4,16
99,Perin,Lavera,H,678 3rd Ave,River Ridge,LA,70123,USA,(504) 606-7291,lperin@perin.org,1,5,16
100,Ferencz,Scarlett,F,20 S Babcock St,River Ridge,LA,70123,USA,(504) 741-1044,Scarlett.ferencz@aol.com,1,5,16
101,Saylors,Victoria,Y,2 Lighthouse Ave,River Ridge,LA,70123,USA,(504) 768-2416,fsaylors@saylors.org,1,6,16
102,Briddick,Jina,I,38938 Park Blvd,Harahan,LA,70123,USA,(504) 399-5124,jina_briddick@briddick.com,1,4,16
103,Waycott,Kristina,F,5 Tomahawk Dr,Harahan,LA,70123,USA,(504) 453-2780,kristina_waycott@yahoo.com,1,4,16
104,Willard,Olivia,L,618 W Yakima Ave,River Ridge,LA,70123,USA,(504) 303-9197,willard@hotmail.com,1,7,17
105,Allene,Sophia,S,1 Central Ave,Harahan,LA,70123,USA,(504) 662-6764,allene_sophia@cox.net,1,9,17
106,Bowley,Emerson,p,762 S Main St,Harahan,LA,70123,USA,(504) 336-7444,emerson.bowley@bowley.org,1,11,17
107,Malet,Grace,H,209 Decker Dr,River Ridge,LA,70123,USA,(504) 907-9111,bmalet@yahoo.com,1,11,17
108,Bolognia,Brocke,P,4486 W O St #1,River Ridge,LA,70123,USA,(504) 402-9216,bbolognia@yahoo.com,1,11,17
109,Nestle,Lorrie,Y,39 S 7th St,Kenner,LA,70065,USA,(504) 875-6644,lnestle@hotmail.com,1,9,17
110,Mastella,Marjory,W,71 San Mateo Ave,Harahan,LA,70123,USA,(504) 814-5533,mmastella@mastella.com,1,9,17
111,Ernie,Amelia,I,45 E Liberty St,Harahan,LA,70123,USA,(504) 709-6245,ernie_amelia@aol.com,1,13,18
112,Albina,Evelyn,S,4 Ralph Ct,Harahan,LA,70123,USA,(504) 924-7882,albina@evelyn.com,1,14,18
113,Valentine,Gillian,I,775 W 17th St,Harahan,LA,70123,USA,(504) 812-9597,valentine_gillian@gmail.com,1,18,18
114,Kati,Sofia,M,6980 Dorsett Rd,Harahan,LA,70123,USA,(504) 463-7829,kati.Sofia@hotmail.com,1,30,18
115,Campain,Roxane,W,1048 Main St,Harahan,LA,70123,USA,(504) 231-4722,roxane@hotmail.com,1,4,19
116,Perin,Lavera,H,678 3rd Ave,River Ridge,LA,70123,USA,(504) 606-7291,lperin@perin.org,1,5,19
117,Ferencz,Scarlett,F,20 S Babcock St,River Ridge,LA,70123,USA,(504) 741-1044,Scarlett.ferencz@aol.com,1,5,19
118,Saylors,Victoria,Y,2 Lighthouse Ave,River Ridge,LA,70123,USA,(504) 768-2416,fsaylors@saylors.org,1,6,19
119,Briddick,Jina,I,38938 Park Blvd,Harahan,LA,70123,USA,(504) 399-5124,jina_briddick@briddick.com,1,4,19
120,Nestle,Lorrie,Y,39 S 7th St,Kenner,LA,70065,USA,(504) 875-6644,lnestle@hotmail.com,1,9,19
121,Uyetake,Sabra,I,98839 Hawthorne Blvd #6101,Harahan,LA,70123,USA,(504) 925-5213,sabra@uyetake.org,1,8,19
122,Mastella,Marjory,W,71 San Mateo Ave,Harahan,LA,70123,USA,(504) 814-5533,mmastella@mastella.com,1,9,19
123,Ernie,Amelia,I,45 E Liberty St,Harahan,LA,70123,USA,(504) 709-6245,ernie_amelia@aol.com,1,13,19
124,Albina,Evelyn,S,4 Ralph Ct,Harahan,LA,70123,USA,(504) 924-7882,albina@evelyn.com,1,14,20
125,Valentine,Gillian,I,775 W 17th St,Harahan,LA,70123,USA,(504) 812-9597,valentine_gillian@gmail.com,1,18,20
126,Kati,Sofia,M,6980 Dorsett Rd,Harahan,LA,70123,USA,(504) 463-7829,kati.sofia@hotmail.com,1,30,20
